Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Schottky","D_SOD-123F",147.825000,-19.400000,0.000000,bottom
"J1","USB_C_Receptacle","USB-C_port_HC-TYPE-C-24P-DS10.0-CH2.75S-5A-04",144.625000,-12.140000,0.000000,bottom
"R1","5K1","R_0603_1608Metric",138.325000,-16.550000,-90.000000,bottom
"R2","5K1","R_0603_1608Metric",140.325000,-18.850000,180.000000,bottom
"U1","Pi_Pico","RPi_Pico_SMD_TH",144.110000,-107.895000,180.000000,bottom
